panic_variant,sync_bars,delay_bars,arm,exit,cost,period,cagr,max_drawdown,sharpe,active_days,active_win_rate,trade_rows,paired_days,selected_minus_control,selected_mean,control_mean,pnl_corr
DIVERGENCE,1,1,PAIRED_SELECTED_MINUS_CONTROL,10:00,BASE,all,,,,,,,80.0,-0.002157365934779075,0.0005809777603378868,0.0027383436951169612,0.6826796890924504
DIVERGENCE,1,1,PAIRED_SELECTED_MINUS_CONTROL,10:00,BASE,development_2021_2023,,,,,,,40.0,-0.0038004922023086537,-0.008477754112213354,-0.004677261909904702,0.7396272379638676
DIVERGENCE,1,1,PAIRED_SELECTED_MINUS_CONTROL,10:00,BASE,oos_2024_2026,,,,,,,40.0,-0.0005142396672494963,0.009639709632889126,0.010153949300138623,0.6270369335711452
DIVERGENCE,1,1,PAIRED_SELECTED_MINUS_CONTROL,10:00,CONSERVATIVE,all,,,,,,,80.0,-0.0021549940357789748,-0.000519093579504874,0.0016359004562741023,0.6826797282035734
DIVERGENCE,1,1,PAIRED_SELECTED_MINUS_CONTROL,10:00,CONSERVATIVE,development_2021_2023,,,,,,,40.0,-0.0037963137701003775,-0.009567877883720644,-0.005771564113620265,0.7396272332566829
DIVERGENCE,1,1,PAIRED_SELECTED_MINUS_CONTROL,10:00,CONSERVATIVE,oos_2024_2026,,,,,,,40.0,-0.0005136743014575729,0.008529690724710895,0.00904336502616847,0.6270369335711451
DIVERGENCE,1,2,SELECTED_SYNC,OPEN,BASE,all,-0.021242598472272833,-0.24549071782586163,-0.14205356676907607,80.0,0.4,175.0,,,,,
DIVERGENCE,1,2,SELECTED_SYNC,OPEN,BASE,development_2021_2023,-0.07590138742450481,-0.19507018015823951,-0.6606022481239454,40.0,0.25,84.0,,,,,
DIVERGENCE,1,2,SELECTED_SYNC,OPEN,BASE,oos_2024_2026,0.03822683309294028,-0.1287551506836977,0.40407480659924594,40.0,0.55,91.0,,,,,
DIVERGENCE,1,2,SELECTED_SYNC,OPEN,CONSERVATIVE,all,-0.0378170711937611,-0.2691806246851638,-0.29857599041468286,80.0,0.3875,175.0,,,,,
DIVERGENCE,1,2,SELECTED_SYNC,OPEN,CONSERVATIVE,development_2021_2023,-0.0913711285049994,-0.21431650855363304,-0.808383793617317,40.0,0.25,84.0,,,,,
DIVERGENCE,1,2,SELECTED_SYNC,OPEN,CONSERVATIVE,oos_2024_2026,0.020363150779179717,-0.1344865656862826,0.24346115826073053,40.0,0.525,91.0,,,,,
DIVERGENCE,1,2,SELECTED_SYNC,10:00,BASE,all,-0.01063228518302306,-0.24854912160170994,-0.0036054727233183173,80.0,0.4875,175.0,,,,,
DIVERGENCE,1,2,SELECTED_SYNC,10:00,BASE,development_2021_2023,-0.12920484789775788,-0.2408727425754067,-0.9960708232614468,40.0,0.375,84.0,,,,,
DIVERGENCE,1,2,SELECTED_SYNC,10:00,BASE,oos_2024_2026,0.12807011074559438,-0.12395971058599409,0.8813644561550241,40.0,0.6,91.0,,,,,
DIVERGENCE,1,2,SELECTED_SYNC,10:00,CONSERVATIVE,all,-0.02738643506241034,-0.285628070035548,-0.12556715710722197,80.0,0.475,175.0,,,,,
DIVERGENCE,1,2,SELECTED_SYNC,10:00,CONSERVATIVE,development_2021_2023,-0.1437822699973622,-0.2727520329608214,-1.1169488005421664,40.0,0.375,84.0,,,,,
DIVERGENCE,1,2,SELECTED_SYNC,10:00,CONSERVATIVE,oos_2024_2026,0.10866058920011934,-0.12972267201016352,0.7696563282046116,40.0,0.575,91.0,,,,,
DIVERGENCE,1,2,CONTROL_STOCK_ONLY,OPEN,BASE,all,-0.11266355520098148,-0.48184893147661056,-0.8304140414835971,136.0,0.3897058823529412,345.0,,,,,
DIVERGENCE,1,2,CONTROL_STOCK_ONLY,OPEN,BASE,development_2021_2023,-0.1547323237195244,-0.3403482222370109,-1.5032903537282967,73.0,0.3287671232876712,185.0,,,,,
DIVERGENCE,1,2,CONTROL_STOCK_ONLY,OPEN,BASE,oos_2024_2026,-0.06771132148282577,-0.214508190547832,-0.3719385864539578,63.0,0.4603174603174603,160.0,,,,,
DIVERGENCE,1,2,CONTROL_STOCK_ONLY,OPEN,CONSERVATIVE,all,-0.1380566772470232,-0.5503984124011272,-1.0422624639361415,136.0,0.38235294117647056,345.0,,,,,
DIVERGENCE,1,2,CONTROL_STOCK_ONLY,OPEN,CONSERVATIVE,development_2021_2023,-0.180377723188348,-0.390579480025538,-1.7639635583267768,73.0,0.3150684931506849,185.0,,,,,
DIVERGENCE,1,2,CONTROL_STOCK_ONLY,OPEN,CONSERVATIVE,oos_2024_2026,-0.09285048079197111,-0.2622473762161578,-0.5473043265099459,63.0,0.4603174603174603,160.0,,,,,
DIVERGENCE,1,2,CONTROL_STOCK_ONLY,10:00,BASE,all,-0.09607399102345715,-0.5148555691651366,-0.47555570107577677,136.0,0.41911764705882354,345.0,,,,,
DIVERGENCE,1,2,CONTROL_STOCK_ONLY,10:00,BASE,development_2021_2023,-0.2147035124481309,-0.4456357473743413,-1.4344096678071174,73.0,0.3698630136986301,185.0,,,,,
DIVERGENCE,1,2,CONTROL_STOCK_ONLY,10:00,BASE,oos_2024_2026,0.044138594006522425,-0.19172365879497888,0.3215368701804672,63.0,0.47619047619047616,160.0,,,,,
DIVERGENCE,1,2,CONTROL_STOCK_ONLY,10:00,CONSERVATIVE,all,-0.1219418606472863,-0.5623648809870638,-0.6370256074120223,136.0,0.375,345.0,,,,,
DIVERGENCE,1,2,CONTROL_STOCK_ONLY,10:00,CONSERVATIVE,development_2021_2023,-0.2385293875997193,-0.48784955566091426,-1.613463516619113,73.0,0.3287671232876712,185.0,,,,,
DIVERGENCE,1,2,CONTROL_STOCK_ONLY,10:00,CONSERVATIVE,oos_2024_2026,0.015983402314925232,-0.20579990065830067,0.18179001485559587,63.0,0.42857142857142855,160.0,,,,,
DIVERGENCE,1,2,PAIRED_SELECTED_MINUS_CONTROL,OPEN,BASE,all,,,,,,,80.0,-0.002740133170053298,-0.0009950819386541025,0.0017450512313991963,0.6201373272160277
DIVERGENCE,1,2,PAIRED_SELECTED_MINUS_CONTROL,OPEN,BASE,development_2021_2023,,,,,,,40.0,-0.004259168201216935,-0.004746719297275335,-0.00048755109605839905,0.7018664209145338
DIVERGENCE,1,2,PAIRED_SELECTED_MINUS_CONTROL,OPEN,BASE,oos_2024_2026,,,,,,,40.0,-0.0012210981388896612,0.0027565554199671305,0.003977653558856791,0.5870029181313412
DIVERGENCE,1,2,PAIRED_SELECTED_MINUS_CONTROL,OPEN,CONSERVATIVE,all,,,,,,,80.0,-0.002737120557655756,-0.0020934205762661523,0.0006436999813896029,0.620137347530716
DIVERGENCE,1,2,PAIRED_SELECTED_MINUS_CONTROL,OPEN,CONSERVATIVE,development_2021_2023,,,,,,,40.0,-0.0042544854771277806,-0.0058409451473068075,-0.0015864596701790292,0.7018664015445613
DIVERGENCE,1,2,PAIRED_SELECTED_MINUS_CONTROL,OPEN,CONSERVATIVE,oos_2024_2026,,,,,,,40.0,-0.0012197556381837338,0.0016541039947745033,0.002873859632958235,0.5870029181313413
DIVERGENCE,1,2,PAIRED_SELECTED_MINUS_CONTROL,10:00,BASE,all,,,,,,,80.0,-0.002512402263688253,-3.2522240379660904e-05,0.0024798800233085923,0.706769494135924
DIVERGENCE,1,2,PAIRED_SELECTED_MINUS_CONTROL,10:00,BASE,development_2021_2023,,,,,,,40.0,-0.003424510157523501,-0.008434690599236874,-0.005010180441713372,0.7675236726098702
DIVERGENCE,1,2,PAIRED_SELECTED_MINUS_CONTROL,10:00,BASE,oos_2024_2026,,,,,,,40.0,-0.0016002943698530051,0.008369646118477552,0.009969940488330553,0.651239812404856
DIVERGENCE,1,2,PAIRED_SELECTED_MINUS_CONTROL,10:00,CONSERVATIVE,all,,,,,,,80.0,-0.0025096400338692733,-0.0011319190860154742,0.0013777209478537992,0.7067695293724443
DIVERGENCE,1,2,PAIRED_SELECTED_MINUS_CONTROL,10:00,CONSERVATIVE,development_2021_2023,,,,,,,40.0,-0.0034207450948191484,-0.009524861716589028,-0.00610411662176988,0.7675236679359457
DIVERGENCE,1,2,PAIRED_SELECTED_MINUS_CONTROL,10:00,CONSERVATIVE,oos_2024_2026,,,,,,,40.0,-0.0015985349729193972,0.00726102354455808,0.008859558517477478,0.6512398124048556
DIVERGENCE,2,0,SELECTED_SYNC,OPEN,BASE,all,-0.03224818364164772,-0.24820304996554254,-0.19745883389264288,61.0,0.36065573770491804,126.0,,,,,
DIVERGENCE,2,0,SELECTED_SYNC,OPEN,BASE,development_2021_2023,-0.06041883229727718,-0.1815313193419249,-0.5143642836674298,29.0,0.2413793103448276,53.0,,,,,
DIVERGENCE,2,0,SELECTED_SYNC,OPEN,BASE,oos_2024_2026,-0.002547045604052056,-0.15197445693129086,0.05187763053454064,32.0,0.46875,73.0,,,,,
DIVERGENCE,2,0,SELECTED_SYNC,OPEN,CONSERVATIVE,all,-0.04476941257667588,-0.2653711647881777,-0.3003139241693821,61.0,0.3442622950819672,126.0,,,,,
DIVERGENCE,2,0,SELECTED_SYNC,OPEN,CONSERVATIVE,development_2021_2023,-0.07184874368243799,-0.19492584049228823,-0.6229518353499182,29.0,0.20689655172413793,53.0,,,,,
DIVERGENCE,2,0,SELECTED_SYNC,OPEN,CONSERVATIVE,oos_2024_2026,-0.016300536098684315,-0.1722508137804667,-0.04643381615934928,32.0,0.46875,73.0,,,,,
DIVERGENCE,2,0,SELECTED_SYNC,10:00,BASE,all,-0.018505364670956204,-0.26716291244164003,-0.04249417640117381,61.0,0.5081967213114754,126.0,,,,,
DIVERGENCE,2,0,SELECTED_SYNC,10:00,BASE,development_2021_2023,-0.10339930614290171,-0.26280344429645486,-0.7775286130691095,29.0,0.41379310344827586,53.0,,,,,
DIVERGENCE,2,0,SELECTED_SYNC,10:00,BASE,oos_2024_2026,0.0770723853021984,-0.1630684966138537,0.5170385663416983,32.0,0.59375,73.0,,,,,
DIVERGENCE,2,0,SELECTED_SYNC,10:00,CONSERVATIVE,all,-0.031204404672453667,-0.29173237232000926,-0.12775882052802062,61.0,0.47540983606557374,126.0,,,,,
