arm,delay_bars,instrument,signal_date,trade_date,exit_date,signal_ret20,signal_hit_count20,industry_code,trigger_datetime,entry_datetime,entry_price,touch_pos,break_pos,market_median_ret,peer_median_ret,peer_positive_ratio,peer_n,exit_open,exit_0935,exit_0940,exit_0945,exit_1000,rank,net_return
SELECTED_SUPPORT,0,SZ000983,2021-09-01,2021-09-02,2021-09-03,0.44035532994923865,2.0,B06,2021-09-02 11:00:00,2021-09-02 11:05:00,12.49,14,15,0.0009687140543754857,0.04938271604938249,1.0,9,12.02,12.38,12.4,12.59,12.44,2,-0.006490830525319735
SELECTED_SUPPORT,0,SH600027,2021-09-01,2021-09-02,2021-09-03,0.19939577039274936,1.0,D44,2021-09-02 13:45:00,2021-09-02 13:50:00,4.36,28,29,0.0013129025530719263,0.04693781958702514,1.0,18,4.45,4.57,4.6,4.63,4.77,3,0.09130420223575642
SELECTED_SUPPORT,0,SZ002202,2021-09-02,2021-09-03,2021-09-06,0.08944793850454213,1.0,C34,2021-09-03 10:35:00,2021-09-03 10:40:00,17.14,3,8,0.002176634151587642,0.010247231767850251,0.6,10,17.4,17.5,17.1,16.88,16.7,1,-0.028104455193389333
SELECTED_SUPPORT,0,SZ000629,2021-09-03,2021-09-06,2021-09-07,0.4866666666666666,4.0,C32,2021-09-06 14:15:00,2021-09-06 14:20:00,4.9,18,19,0.009929964652178325,0.011538032446421043,0.6875,16,4.9,4.81,4.81,4.72,4.78,1,-0.026926256023832917
SELECTED_SUPPORT,0,SZ000898,2021-09-06,2021-09-07,2021-09-08,0.2472160356347437,1.0,C31,2021-09-07 11:00:00,2021-09-07 11:05:00,6.14,5,7,0.0021242512405391656,0.031858407079645934,1.0,19,6.16,6.15,6.15,6.07,6.1,1,-0.008996013266200142
SELECTED_SUPPORT,0,SZ000983,2021-09-06,2021-09-07,2021-09-08,0.539119804400978,3.0,B06,2021-09-07 11:25:00,2021-09-07 11:30:00,13.84,16,17,0.001832245507474961,0.05547445255474459,1.0,9,13.88,14.05,14.52,14.43,14.74,2,0.062368857360005636
SELECTED_SUPPORT,0,SZ002004,2021-09-06,2021-09-07,2021-09-08,0.25185185185185177,1.0,C26,2021-09-07 13:25:00,2021-09-07 13:30:00,7.43,26,27,0.004326917953242249,0.0369718309859155,0.8648648648648649,37,7.74,7.9,8.11,8.18,8.17,3,0.09684985084211095
SELECTED_SUPPORT,0,SH600863,2021-09-07,2021-09-08,2021-09-09,0.4956521739130435,3.0,D44,2021-09-08 10:55:00,2021-09-08 11:00:00,3.77,9,10,0.0014990777498443686,0.03769733612381454,0.9444444444444444,18,3.75,3.42,3.45,3.42,3.49,1,-0.07658268338809815
SELECTED_SUPPORT,0,SZ000983,2021-09-07,2021-09-08,2021-09-09,0.714108910891089,4.0,B06,2021-09-08 14:45:00,2021-09-08 14:50:00,15.24,38,43,0.002552273321234644,0.046052631578947345,0.7777777777777778,9,15.29,15.0,14.9,14.9,15.51,2,0.015174659677307245
SELECTED_SUPPORT,0,SZ000898,2021-09-08,2021-09-09,2021-09-10,0.25678496868475986,2.0,C31,2021-09-09 14:35:00,2021-09-09 14:40:00,6.61,27,28,0.0004235609074318969,0.09018987341772133,1.0,19,6.48,6.45,6.49,6.5,6.52,1,-0.016079353187746892
SELECTED_SUPPORT,0,SH601216,2021-09-08,2021-09-09,2021-09-10,0.23818897637795278,2.0,C26,2021-09-09 14:45:00,2021-09-09 14:50:00,6.92,20,25,0.0011402523377123108,0.00832342449464929,0.6216216216216216,37,6.9,6.86,6.86,6.89,6.95,2,0.001826805787251029
SELECTED_SUPPORT,0,SH600027,2021-09-22,2021-09-23,2021-09-24,0.3342175066312998,3.0,D44,2021-09-23 09:45:00,2021-09-23 09:50:00,5.53,0,1,0.00965533773705518,0.056251823067301476,0.8888888888888888,18,5.36,5.39,5.42,5.37,5.37,1,-0.031358454635238564
SELECTED_SUPPORT,0,SH600886,2021-09-22,2021-09-23,2021-09-24,0.2781531531531529,1.0,D44,2021-09-23 10:05:00,2021-09-23 10:10:00,12.47,1,2,0.008484654768280975,0.02812916653116959,0.8333333333333334,18,11.81,11.39,11.43,11.27,11.24,2,-0.10088799691256667
SELECTED_SUPPORT,0,SH600863,2021-09-22,2021-09-23,2021-09-24,0.7339055793991416,7.0,D44,2021-09-23 10:35:00,2021-09-23 10:40:00,4.43,0,7,0.007846540398800839,0.01710713845829004,0.6111111111111112,18,4.53,4.67,4.58,4.52,4.55,3,0.024522753853464474
SELECTED_SUPPORT,0,SH600886,2021-09-27,2021-09-28,2021-09-29,0.24586549062844543,2.0,D44,2021-09-28 13:50:00,2021-09-28 13:55:00,12.41,23,25,0.003857790074121903,0.06512441047324757,1.0,18,12.03,12.37,12.91,12.73,12.58,1,0.011166789607835792
