a,b,n_dates,mean_corr,mean_abs_corr,median_abs_corr,p90_abs_corr
LOW_ABS_GAP1,LOW_AMPLITUDE1,181,0.18380464463100024,0.19132712629616927,0.18796420388320048,0.32603844103969265
LOW_ABS_GAP1,LOW_TURNOVER_ACCEL5,181,0.053666294011108485,0.11233581660427765,0.08850908734150283,0.21322281953837005
LOW_ABS_GAP1,HIGH_LIQUIDITY,181,-0.21882961391821584,0.222450707929772,0.21681381794704518,0.38440394693466207
LOW_ABS_GAP1,SMALLER_FLOAT_CAP,181,0.04762033967227505,0.10064339824709995,0.08574535681400369,0.22640463842341718
LOW_ABS_GAP1,LOW_GAP_VOL10,181,0.3437995462748936,0.3437995462748936,0.3484469650301234,0.5045699229238847
HIGH_CLOSE_LOC1,LOW_UPPER_SHADOW1,181,0.4102391291879637,0.41953339018629177,0.40890131452361583,0.7125024867837508
HIGH_CLOSE_LOC1,LOW_AMPLITUDE1,181,-0.20910533012173316,0.22614339253299437,0.2067713489513171,0.40427688797957717
HIGH_CLOSE_LOC1,LOW_TURNOVER_ACCEL5,181,-0.09255061784889436,0.14923579293501654,0.13026232169853968,0.29335418837025945
HIGH_CLOSE_LOC1,HIGH_LIQUIDITY,181,0.038309086204998954,0.11831544667488066,0.09440749399417671,0.24730831525961786
HIGH_CLOSE_LOC1,SMALLER_FLOAT_CAP,181,0.019802107362490464,0.12585748118785486,0.10787348856549404,0.2667870112466147
HIGH_CLOSE_LOC1,LOW_GAP_VOL10,181,0.07489476615876403,0.12049598152701102,0.0976050170726315,0.23992772994163813
LOW_UPPER_SHADOW1,LOW_AMPLITUDE1,181,0.39721449623707905,0.3976814971027813,0.4116574656986259,0.5714605782566949
LOW_UPPER_SHADOW1,LOW_TURNOVER_ACCEL5,181,0.052480278249685555,0.11198438780107102,0.0870457491301706,0.2509742718501762
LOW_UPPER_SHADOW1,HIGH_LIQUIDITY,181,-0.20919037118023104,0.22429805635211122,0.21372470300887778,0.39165404568308676
LOW_UPPER_SHADOW1,SMALLER_FLOAT_CAP,181,0.015851724996714864,0.10938626381789367,0.09491257708007585,0.22090316624308542
LOW_UPPER_SHADOW1,LOW_GAP_VOL10,181,0.17259599187113486,0.18158546786469307,0.1832060429663561,0.3114359565720211
LOW_AMPLITUDE1,LOW_TURNOVER_ACCEL5,181,0.16132127909437138,0.23140069007260533,0.21050182022199693,0.4389347261960209
LOW_AMPLITUDE1,HIGH_LIQUIDITY,181,-0.421135932033381,0.421135932033381,0.43132401579003526,0.5926959597124511
LOW_AMPLITUDE1,SMALLER_FLOAT_CAP,181,0.04008460367075325,0.13015604979874648,0.10904193920738754,0.26999753442992497
LOW_AMPLITUDE1,LOW_GAP_VOL10,181,0.27251270437595354,0.2735370445379095,0.27636455586461034,0.43108531548212503
LOW_TURNOVER_ACCEL5,HIGH_LIQUIDITY,181,-0.0524100451131008,0.1387857358452224,0.11776786891007344,0.2931581086573636
LOW_TURNOVER_ACCEL5,SMALLER_FLOAT_CAP,181,-0.03961902856500839,0.10740109788189975,0.0922549751790185,0.21404608294930869
LOW_TURNOVER_ACCEL5,LOW_GAP_VOL10,181,-0.004395690661461946,0.09744445912369712,0.07836408030385247,0.2098493309038187
HIGH_LIQUIDITY,SMALLER_FLOAT_CAP,181,-0.6148422131548652,0.6148422131548652,0.6174806960220705,0.7285135703766047
HIGH_LIQUIDITY,LOW_GAP_VOL10,181,-0.37105948807843653,0.37113785047003794,0.3784653365909597,0.5333753180341082
SMALLER_FLOAT_CAP,LOW_GAP_VOL10,181,0.11870548396963831,0.14793712325356845,0.1345869879417489,0.29981488337652723
