family,label,cost,period,cagr,max_drawdown,sharpe,active_days,active_win_rate,trade_rows
weak_axis,WEAK,BASE,development_2021_2023,-0.3159674058667985,-0.6725382991042178,-1.9506512742002649,280,0.38571428571428573,840
weak_axis,WEAK,BASE,oos_2024_2026,-0.23907531002015225,-0.5657395449561216,-1.0818232300809676,255,0.43137254901960786,765
weak_axis,WEAK,CONSERVATIVE,all,-0.3563595835197314,-0.9146000850470648,-2.012005062915572,535,0.38691588785046727,1605
weak_axis,WEAK,CONSERVATIVE,development_2021_2023,-0.3919081609763643,-0.7539932110139281,-2.566966619384843,280,0.36428571428571427,840
weak_axis,WEAK,CONSERVATIVE,oos_2024_2026,-0.3187755568568411,-0.6528554544981671,-1.5631450738885904,255,0.4117647058823529,765
breadth_sign,POS,BASE,all,-0.08562672111124703,-0.6914229193582199,-0.28578940376038175,527,0.45161290322580644,1581
breadth_sign,POS,BASE,development_2021_2023,-0.3366907325680193,-0.6563649469083674,-2.350956698169632,265,0.3849056603773585,795
breadth_sign,POS,BASE,oos_2024_2026,0.2731497655451325,-0.31702876768840726,1.0403548415528152,262,0.5190839694656488,786
breadth_sign,POS,CONSERVATIVE,all,-0.1827311063997361,-0.8029080085667477,-0.7873914063696748,527,0.43833017077798864,1581
breadth_sign,POS,CONSERVATIVE,development_2021_2023,-0.40660176468551656,-0.7417100202231646,-2.9835841539607464,265,0.36981132075471695,795
breadth_sign,POS,CONSERVATIVE,oos_2024_2026,0.13634179757621023,-0.37387457195221874,0.6162927367146094,262,0.5076335877862596,786
breadth_sign,NONPOS,BASE,all,-0.3112337950429108,-0.8877104061678729,-1.4373906664506662,726,0.4283746556473829,2178
breadth_sign,NONPOS,BASE,development_2021_2023,-0.3828505754462992,-0.7347374422973767,-2.1929958175374824,376,0.4015957446808511,1128
breadth_sign,NONPOS,BASE,oos_2024_2026,-0.2298086892186002,-0.6065663657236702,-0.8430489075148122,350,0.45714285714285713,1050
breadth_sign,NONPOS,CONSERVATIVE,all,-0.4099325654141315,-0.9466102736005014,-2.0792736215307652,726,0.40082644628099173,2178
breadth_sign,NONPOS,CONSERVATIVE,development_2021_2023,-0.47306130943677727,-0.8204867547565293,-2.9319003824092866,376,0.3776595744680851,1128
breadth_sign,NONPOS,CONSERVATIVE,oos_2024_2026,-0.3383236085765279,-0.7124975668449913,-1.412008559005954,350,0.4257142857142857,1050
money_sign,POS,BASE,all,-0.08829600887528688,-0.7281293945084146,-0.230674585801173,701,0.4664764621968616,2103
money_sign,POS,BASE,development_2021_2023,-0.3790754188211629,-0.7094820694186094,-2.3001335714569637,359,0.4233983286908078,1077
money_sign,POS,BASE,oos_2024_2026,0.3548768279136678,-0.22456973181701867,1.162864658159654,342,0.5116959064327485,1026
money_sign,POS,CONSERVATIVE,all,-0.21477039959436306,-0.8424365737206633,-0.8152543386230735,701,0.4450784593437946,2103
money_sign,POS,CONSERVATIVE,development_2021_2023,-0.4660365923853236,-0.8040522219256334,-3.042645417212197,359,0.403899721448468,1077
money_sign,POS,CONSERVATIVE,oos_2024_2026,0.1680309117605916,-0.28351672864860766,0.6713993326621895,342,0.48830409356725146,1026
money_sign,NONPOS,BASE,all,-0.309217224729439,-0.886036873856435,-1.7044023790169605,552,0.40217391304347827,1656
money_sign,NONPOS,BASE,development_2021_2023,-0.34072358366034694,-0.7119744645781705,-2.1997149687067927,282,0.35815602836879434,846
money_sign,NONPOS,BASE,oos_2024_2026,-0.2762671362117963,-0.6189248920955877,-1.3131289486076725,270,0.44814814814814813,810
money_sign,NONPOS,CONSERVATIVE,all,-0.38585636715118776,-0.9329695656500496,-2.267804851018104,552,0.3804347826086957,1656
money_sign,NONPOS,CONSERVATIVE,development_2021_2023,-0.4144083945827548,-0.7843327270364702,-2.829733273444279,282,0.33687943262411346,846
money_sign,NONPOS,CONSERVATIVE,oos_2024_2026,-0.35627513580907566,-0.6916711932381244,-1.8248967240871201,270,0.42592592592592593,810
breadth_direction,RISING,BASE,all,-0.13327917270448764,-0.7493096744723746,-0.4661919992153754,637,0.4474097331240188,1911
breadth_direction,RISING,BASE,development_2021_2023,-0.31879168397430235,-0.6297463263060992,-2.2044912522779745,316,0.39556962025316456,948
breadth_direction,RISING,BASE,oos_2024_2026,0.11070551987010901,-0.4321891161192165,0.5049321786308192,321,0.4984423676012461,963
breadth_direction,RISING,CONSERVATIVE,all,-0.24326571582675893,-0.8560077594744049,-1.0255314494516654,637,0.4175824175824176,1911
breadth_direction,RISING,CONSERVATIVE,development_2021_2023,-0.4035125851070863,-0.7381757592498827,-2.973087559361049,316,0.370253164556962,948
breadth_direction,RISING,CONSERVATIVE,oos_2024_2026,-0.03370300281048477,-0.4857307915203276,0.03982896297558643,321,0.46417445482866043,963
breadth_direction,NOT_RISING,BASE,all,-0.2733653174349683,-0.8590626713981697,-1.3368442761278831,616,0.42857142857142855,1848
breadth_direction,NOT_RISING,BASE,development_2021_2023,-0.39906644844696637,-0.7681016810803792,-2.312463955451487,325,0.39384615384615385,975
breadth_direction,NOT_RISING,BASE,oos_2024_2026,-0.11716573906924588,-0.42411872296182174,-0.42241777981711137,291,0.46735395189003437,873
breadth_direction,NOT_RISING,CONSERVATIVE,all,-0.36273039361444104,-0.9248318856759391,-1.9263793151565167,616,0.4155844155844156,1848
breadth_direction,NOT_RISING,CONSERVATIVE,development_2021_2023,-0.47579029952329044,-0.8321022347325835,-2.9435964354765005,325,0.37846153846153846,975
breadth_direction,NOT_RISING,CONSERVATIVE,oos_2024_2026,-0.221884635644352,-0.5577411363222817,-0.9705363382812753,291,0.4570446735395189,873
money_direction,RISING,BASE,all,-0.17406044205614224,-0.7921189476502646,-0.6936566018797763,608,0.43585526315789475,1824
money_direction,RISING,BASE,development_2021_2023,-0.40720192713596426,-0.7478351624028148,-2.863506569850526,314,0.37898089171974525,942
money_direction,RISING,BASE,oos_2024_2026,0.1622446793006871,-0.29419620050340256,0.6794774089373852,294,0.4965986394557823,882
money_direction,RISING,CONSERVATIVE,all,-0.274402929963772,-0.87712751089007,-1.242974355637512,608,0.4161184210526316,1824
money_direction,RISING,CONSERVATIVE,development_2021_2023,-0.48049089158797564,-0.8193125820898908,-3.5748636249797228,314,0.36942675159235666,942
money_direction,RISING,CONSERVATIVE,oos_2024_2026,0.023050489257503193,-0.33709225393657405,0.22555917779926787,294,0.46598639455782315,882
money_direction,NOT_RISING,BASE,all,-0.23748728686368858,-0.8365887677121561,-1.0709872188623735,645,0.44031007751937984,1935
money_direction,NOT_RISING,BASE,development_2021_2023,-0.30944287534707493,-0.6668459992448734,-1.7243865489792094,327,0.40978593272171254,981
money_direction,NOT_RISING,BASE,oos_2024_2026,-0.1563145831424777,-0.5598386274830653,-0.5427667884441448,318,0.4716981132075472,954
money_direction,NOT_RISING,CONSERVATIVE,all,-0.33538353539732313,-0.9049095044386886,-1.6694882542356357,645,0.4170542635658915,1935
money_direction,NOT_RISING,CONSERVATIVE,development_2021_2023,-0.39811548241200423,-0.7544085317134199,-2.3915784545487306,327,0.37920489296636084,981
money_direction,NOT_RISING,CONSERVATIVE,oos_2024_2026,-0.2650504076396213,-0.630222579320697,-1.0888693037115904,318,0.4559748427672956,954
BASELINE_NO_GATE,ALL,BASE,all,-0.37021058678562324,-0.959849733037367,-1.245458987249395,1253,0.4381484437350359,3759
BASELINE_NO_GATE,ALL,BASE,development_2021_2023,-0.590639067303216,-0.9080271455899762,-3.2142738825243162,641,0.39469578783151327,1923
