delay_bars,arm,exit,cost,period,cagr,max_drawdown,sharpe,active_days,active_win_rate,trade_rows,paired_days,selected_mean,control_mean,selected_minus_control,selected_win_fraction,pnl_corr
1,CONTROL_UNSUPPORTED,10:00,CONSERVATIVE,oos_2024_2026,-0.30047725985082274,-0.7641464000251729,-0.7112643271770722,129.0,0.46511627906976744,178.0,,,,,,
1,PAIRED_SELECTED_MINUS_CONTROL,OPEN,BASE,all,,,,,,,61.0,-0.005216682375067771,-0.0004424021236939444,-0.004774280251373828,0.4262295081967213,0.43493886846055824
1,PAIRED_SELECTED_MINUS_CONTROL,OPEN,BASE,development_2021_2023,,,,,,,34.0,-0.01071617956758892,-0.004868800531845011,-0.0058473790357439085,0.4117647058823529,0.19397823688798851
1,PAIRED_SELECTED_MINUS_CONTROL,OPEN,BASE,oos_2024_2026,,,,,,,27.0,0.0017086103858847854,0.005131581056940732,-0.003422970671055947,0.4444444444444444,0.5029021263434307
1,PAIRED_SELECTED_MINUS_CONTROL,OPEN,CONSERVATIVE,all,,,,,,,61.0,-0.0063103812412789685,-0.0015413500150187791,-0.00476903122626019,0.4262295081967213,0.43493892144344964
1,PAIRED_SELECTED_MINUS_CONTROL,OPEN,CONSERVATIVE,development_2021_2023,,,,,,,34.0,-0.011803842801068824,-0.005962892642730417,-0.005840950158338409,0.4117647058823529,0.19397826275230365
1,PAIRED_SELECTED_MINUS_CONTROL,OPEN,CONSERVATIVE,oos_2024_2026,,,,,,,27.0,0.0006073110932712213,0.004026518479136619,-0.0034192073858653953,0.4444444444444444,0.5029021263434302
1,PAIRED_SELECTED_MINUS_CONTROL,10:00,BASE,all,,,,,,,61.0,0.0010053295558559326,-0.0028903253778393306,0.0038956549336952627,0.4918032786885246,0.41481097509447823
1,PAIRED_SELECTED_MINUS_CONTROL,10:00,BASE,development_2021_2023,,,,,,,34.0,-0.004382988861326714,-0.005378953701031907,0.000995964839705192,0.4411764705882353,0.3102735257594072
1,PAIRED_SELECTED_MINUS_CONTROL,10:00,BASE,oos_2024_2026,,,,,,,27.0,0.007790619414530376,0.00024350288099576848,0.0075471165335346075,0.5555555555555556,0.4700315882495141
1,PAIRED_SELECTED_MINUS_CONTROL,10:00,CONSERVATIVE,all,,,,,,,61.0,-9.520999266972968e-05,-0.0039865819746250745,0.0038913719819553454,0.4918032786885246,0.41481100362272
1,PAIRED_SELECTED_MINUS_CONTROL,10:00,CONSERVATIVE,development_2021_2023,,,,,,,34.0,-0.005477615067281589,-0.006472484944700985,0.0009948698774193947,0.4411764705882353,0.3102735350289464
1,PAIRED_SELECTED_MINUS_CONTROL,10:00,CONSERVATIVE,oos_2024_2026,,,,,,,27.0,0.006682633434619274,-0.0008561856419368947,0.007538819076556172,0.5555555555555556,0.470031588249515
