family,label,cost,period,cagr,max_drawdown,sharpe,active_days,active_win_rate,trade_rows
active_share_axis,RISING,BASE,development_2021_2023,-0.4119937289865361,-0.7619155930747886,-2.6405333137084224,319,0.3793103448275862,957
active_share_axis,RISING,BASE,oos_2024_2026,0.057707497703292754,-0.3371479808421588,0.34522989890278577,309,0.49514563106796117,927
active_share_axis,RISING,CONSERVATIVE,all,-0.3129926586647718,-0.8852699298121302,-1.4416793601116118,628,0.4140127388535032,1884
active_share_axis,RISING,CONSERVATIVE,development_2021_2023,-0.4857719833364914,-0.8250552671417348,-3.3064435464609954,319,0.3542319749216301,957
active_share_axis,RISING,CONSERVATIVE,oos_2024_2026,-0.07500682666736047,-0.4236298726032627,-0.13751763256356547,309,0.47572815533980584,927
active_share_axis,NOT_RISING,BASE,all,-0.19808038293167296,-0.8054962943114424,-0.8734985232433919,625,0.44,1875
active_share_axis,NOT_RISING,BASE,development_2021_2023,-0.30381536239192597,-0.6384763908638771,-1.846622450746961,322,0.40993788819875776,966
active_share_axis,NOT_RISING,BASE,oos_2024_2026,-0.07293000297771768,-0.4660681485543471,-0.16311719288441356,303,0.47194719471947194,909
active_share_axis,NOT_RISING,CONSERVATIVE,all,-0.29805151939675434,-0.8878353741741696,-1.4666343716550962,625,0.4192,1875
active_share_axis,NOT_RISING,CONSERVATIVE,development_2021_2023,-0.39193416350990085,-0.7420894885674528,-2.5574148339831515,322,0.3944099378881988,966
active_share_axis,NOT_RISING,CONSERVATIVE,oos_2024_2026,-0.1871393630561431,-0.5664966851165167,-0.6767626111923053,303,0.44554455445544555,909
theme_axis,SUPPORT,BASE,all,-0.41139422954680127,-0.9581043996530179,-1.583667844188568,1200,0.43083333333333335,3598
theme_axis,SUPPORT,BASE,development_2021_2023,-0.582174231181158,-0.8969925919292862,-3.3987509827965687,615,0.3951219512195122,1843
theme_axis,SUPPORT,BASE,oos_2024_2026,-0.16347058881198706,-0.6136153656270874,-0.3231117140656921,585,0.4683760683760684,1755
theme_axis,SUPPORT,CONSERVATIVE,all,-0.5441736966276685,-0.9854594282103678,-2.4240827886341507,1200,0.4041666666666667,3598
theme_axis,SUPPORT,CONSERVATIVE,development_2021_2023,-0.6773431605222935,-0.9475756172741455,-4.442498212433681,615,0.3642276422764228,1843
theme_axis,SUPPORT,CONSERVATIVE,oos_2024_2026,-0.35099875876187936,-0.7191061253308928,-1.0430261237487402,585,0.4461538461538462,1755
theme_axis,NO_SUPPORT,BASE,all,-0.3990019632712247,-0.9511033719669288,-1.7529121066524915,1202,0.4059900166389351,3606
theme_axis,NO_SUPPORT,BASE,development_2021_2023,-0.5783154256744498,-0.8991538310988244,-3.3390094748791874,629,0.3688394276629571,1887
theme_axis,NO_SUPPORT,BASE,oos_2024_2026,-0.1354528441573103,-0.5427132875791889,-0.35739145706259723,573,0.4467713787085515,1719
theme_axis,NO_SUPPORT,CONSERVATIVE,all,-0.5347752007717561,-0.9863359937503489,-2.7051987137404945,1202,0.38851913477537436,3606
theme_axis,NO_SUPPORT,CONSERVATIVE,development_2021_2023,-0.6762736950178941,-0.9492370561066178,-4.401751459785103,629,0.3497615262321145,1887
theme_axis,NO_SUPPORT,CONSERVATIVE,oos_2024_2026,-0.32576041916443155,-0.7363551812572395,-1.2228026146287219,573,0.43106457242582896,1719
confluence_axis,CONFLUENT,BASE,all,0.00016466190742780995,-0.18575165099084,0.06902152045582183,111,0.5135135135135135,333
confluence_axis,CONFLUENT,BASE,development_2021_2023,-0.051607518922764384,-0.1294995583944446,-0.6376630782907766,47,0.44680851063829785,141
confluence_axis,CONFLUENT,BASE,oos_2024_2026,0.05658164267603194,-0.18575165099084,0.4063537847370288,64,0.5625,192
confluence_axis,CONFLUENT,CONSERVATIVE,all,-0.023208898101444997,-0.19731281229673947,-0.10843684164334842,111,0.4864864864864865,333
confluence_axis,CONFLUENT,CONSERVATIVE,development_2021_2023,-0.07015768502752107,-0.17336273337326547,-0.8821273533709418,47,0.40425531914893614,141
confluence_axis,CONFLUENT,CONSERVATIVE,oos_2024_2026,0.027644940171914323,-0.19731281229673947,0.24589764818372525,64,0.546875,192
confluence_axis,NOT_CONFLUENT,BASE,all,-0.38404719397070197,-0.9639826368839518,-1.418285044244356,1236,0.4320388349514563,3708
confluence_axis,NOT_CONFLUENT,BASE,development_2021_2023,-0.5827989151562694,-0.9053713944583225,-3.1660411191358437,639,0.39280125195618154,1917
