SH600428	2014-01-02	2021-01-03
SH600429	2014-01-02	2016-06-30
SH600432	2014-07-01	2015-06-30
SH600433	2015-01-05	2017-07-02
SH600435	2014-01-02	2026-09-03
SH600436	2014-01-02	2026-09-03
SH600438	2014-01-02	2015-06-30
SH600438	2018-01-02	2026-09-03
SH600439	2014-01-02	2015-06-30
SH600446	2015-07-01	2016-01-03
SH600446	2016-07-01	2018-01-01
SH600446	2020-01-02	2023-04-02
SH600449	2014-01-02	2015-01-04
SH600456	2014-01-02	2017-01-02
SH600458	2014-01-02	2020-01-01
SH600460	2014-01-02	2022-02-06
SH600460	2022-07-01	2026-09-03
SH600466	2016-07-01	2022-06-30
SH600467	2014-01-02	2015-06-30
SH600468	2014-01-02	2017-07-02
SH600469	2014-01-02	2014-06-30
SH600470	2014-01-02	2014-06-30
SH600478	2014-01-02	2021-01-03
SH600479	2014-01-02	2015-01-04
SH600481	2014-01-02	2019-01-01
SH600481	2023-07-03	2025-01-01
SH600482	2014-01-02	2024-06-30
SH600482	2025-01-02	2026-09-03
SH600483	2016-01-04	2017-07-02
SH600483	2024-07-01	2026-09-03
SH600485	2015-01-05	2018-07-01
SH600486	2019-07-01	2026-09-03
SH600487	2014-01-02	2018-01-01
SH600487	2018-07-02	2024-01-01
SH600487	2025-01-02	2026-06-30
SH600488	2014-01-02	2016-01-03
SH600489	2014-01-02	2026-09-03
SH600490	2014-01-02	2015-06-30
SH600491	2014-01-02	2015-01-04
SH600496	2014-01-02	2018-01-01
SH600497	2014-01-02	2017-07-02
SH600497	2019-07-01	2026-09-03
SH600498	2014-01-02	2026-09-03
SH600499	2014-01-02	2014-06-30
SH600499	2015-01-05	2020-06-30
SH600499	2022-07-01	2026-09-03
SH600500	2014-01-02	2015-01-04
SH600500	2015-07-01	2025-06-30
SH600503	2014-01-02	2015-01-04
SH600503	2016-01-04	2019-06-30
SH600507	2014-01-02	2017-01-02
SH600507	2019-01-02	2024-01-01
SH600508	2014-01-02	2015-01-04
SH600509	2014-01-02	2017-01-02
SH600510	2014-01-02	2017-01-02
SH600511	2014-01-02	2026-09-03
